,Imagem,Nome,Descrição,Conquista,Como obter
60,,Chapéu Arcano,O tipo de chapéu de vaqueiro que é usado por um mago.,,Meta de Erradicação de Monstros  - Mate 100  Múmias  .
61,,Chapéu de Chefe de Cozinha,O chapéu tradicional de um chefe de cozinha.,Chefe Gourmet,Cozinhe todas as  Receitas  .
62,,Chapéu de Pirata,O chapéu de um capitão com um caveira horrivel na frente.,,Alfaiataria
63,,Chapéu Plano,Um chapéu antigo que já foi considerado muito estiloso.,,Alfaiataria
64,,Turbante Elegante,Um turbante de tecido preto com detalhes dourados.,,Obtenha todas as  Conquistas  .
65,,Turbante Branco,Um turbante de tecido branco com detalhes azuis.,,Alfaiataria  Caverna da Caveira
66,,Chapéu de Lixo,É uma tampa de lata de lixo 'reciclada' como chapéu...,,"0,2% chance de encontrar ao mexer em latas de lixo na cidade, somente após verificar 20 latas"
67,,Máscara Dourada,Uma recriação fiel da relíquia do Deserto Calico!,,Alfaiataria
68,,Chapéu de Hélice,Um chapéu bobo com uma hélice em cima.,,Alfaiataria
69,,Véu de Noiva,O chapéu tradicional de uma noiva.,,Alfaiataria
70,,Chapéu de Bruxa,Um chapéu pontudo popular entre bruxas.,,Alfaiataria
71,,Peneira de Cobre,Você coloca a peneira de cobre na sua cabeça...,,Coloque a  Peneira de cobre  no slot próximo ao avatar de fazendo no inventário.
72,,Turbante Verde,Um turbante verde de seda com um ornamento dourado na frente.,,Vendido pelo  Comerciante do Deserto
73,,Chapéu de Vaqueiro Mágico,Está brilhando com energia prismática.,,"Vendido pelo  Comerciante do Deserto  , em dias ímpares."
74,,Turbante Mágico,Está brilhando com energia prismática,,"Vendido pelo  Comerciante do Deserto  , em dias pares."
75,,Capacete Dourado,É a metade de um coco dourado.,,Coco Dourado  (5% de chance ao abrir)
76,,Chapéu de Pirata de Luxo,Só o pirata mais infame poderia vestir isso.,,Baús na  Caverna do Vulcão
77,,Laço Rosa,Este laço gigante é uma declaração e tanto!,,Vendido pelo anão na  Caverna do Vulcão
78,,Chapéu de Sapo,Um amigo pegajoso que vive na sua cabeça.,,Pesca na caverna do  Sapo Gourmand  na  Ilha Gengibre
79,,Boné Pequeno,É um estilo de boné mais aerodinâmico.,,Comerciante da Ilha  às Segundas por 30  Inhames-coco  .
80,,Máscara de Pássaro Azul,Use isto para ficar igual ao se comerciante favorito da ilha.,,Comerciante da Ilha  às Quartas por 30  Inhames-coco  .
81,,Chapéu de Caubói de Luxo,Um chapéu de caubói com um formato mais extremo.,,Comerciante da Ilha  às Sextas por 30  Inhames-coco  .
82,,Chapéu do Sr. Qi,Uma réplica do chapéu icônico do Sr. Qi.,,Sala de Nozes do Sr. Qi  por  5  .
83,,Chapéu de Caubói Escuro,Um chapéu de caubói em um clássico preto.,,Obtido aleatoriamente em  Salas de Tesouro na Caverna da Caveira
84,,Óculos Radioativos,Na verdade não fornece nenhuma proteção contra radiação.,,Alfaiataria
85,,Chapéu de Espadachim,A clássica vestimenta de um espadachim.,,Alfaiataria
86,,Máscara Qi,???,,Alfaiataria
87,,Chapéu de Estrela,Um chapéu vermelho com estrelas.,,Alfaiataria
88,,Óculos de Sol,Eles te dão uma aparência relaxada.,,Alfaiataria
89,,Óculos de Proteção,Você vai se sentir muito mais seguro com eles.,,Alfaiataria
90,,Chapéu de Coletor,É o deleite de um coletor.,,Alfaiataria
91,,Chapéu de Tigre,Faz você parecer um belíssimo tigre.,,Drop aleatório de  Gosmas-Tigre
92,,Capacete de Guerreiro,Uma casca de ovo de avestruz reutilizado como capacete.,,Alfaiataria
93,,???,???,,Interaja com o macaco na  Cratera do Vulcão  após alcançar 100% de  Perfeição  .
