,Ingrediente,Fonte,Necessário para,Tipo,Estação,crescimento_produção,Descrição,Preço de Venda,Item de entrada,Horário,Clima,Dificuldade,Ingredientes,Bônus,Duração do Bônus,Energia,Saúde,Preço de Venda Condicional,Condição de preço condicional
16,Pimenta quente,,Enroladinhos de pimenta  (1)  Enguia picante  (1)  Curry Tropical  (1),cultivos,Verão,5 Dias,Continua produzindo a cada 3 dias após a primeira colheita.,,,,,,,,,,,None,
17,Rabanete,,Prato vermelho  (1)  Salada de rabanete  (1),cultivos,Verão,6 Dias,,,,,,,,,,,,None,
18,Papoula,,Bolinho de papoula  (1),cultivos,Verão,7 Dias,,,,,,,,,,,,None,
19,Tomate,,Mexido de legumes  (1)  Pizza  (1)  Espaguete  (1)  Parmesão com berinjela  (1)  Brusqueta  (1)  Guisado de peixe  (1)  Coquetel de Camarão  (1)  Ravioli de Tinta de Lula  (1),cultivos,Verão,11 Dias,Continua produzindo a cada 4 dias após a primeira colheita.,,,,,,,,,,,None,
20,Melão,,Bolo rosa  (1)  Salada de frutas  (1),cultivos,Verão,12 Dias,Pode se tornar uma  lavoura gigante,,,,,,,,,,,None,
21,Mirtilo,,Torta de Mirtilo  (1)  Salada de frutas  (1),cultivos,Verão,13 Dias,Produz múltiplos mirtilos a cada colheita. Continua produzindo a cada 4 dias após a primeira colheita.,,,,,,,,,,,None,
22,Milho,,Tortilha  (2x1),cultivos,Verão  /  Outono,14 Dias,Continua produzindo a cada 4 dias após a primeira colheita.,,,,,,,,,,,None,
23,Repolho roxo,,Taco de peixe  (1)  Prato vermelho  (1)  Salada de repolho  (1),cultivos,Verão,9 Dias,Disponível a partir do Ano 2,,,,,,,,,,,None,
24,Couve chinesa,,Superprato  (1),cultivos,Outono,4 Dias,,,,,,,,,,,,None,
25,Berinjela,,Parmesão com berinjela  (1)  Hambúrguer de sobreviência  (1),cultivos,Outono,5 Dias,Continua produzindo a cada 5 dias após a primeira colheita.,,,,,,,,,,,None,
26,Amaranto,,Jantar de salmão  (1),cultivos,Outono,7 Dias,Colha com  Foice,,,,,,,,,,,None,
27,Oxicoco,,Superprato  (1)  Molho de oxicoco  (1)  Recheio  (1)  Doce de oxicoco  (1),cultivos,Outono,7 Dias,Produz 2 Oxicocos a cada colheita. Continua produzindo a cada 5 dias após a primeira colheita.,,,,,,,,,,,None,
28,Inhame,,Inhames com cobertura  (1)  Prato de outono  (1),cultivos,Outono,10 Dias,,,,,,,,,,,,None,
29,Abóbora,,Prato de outono  (1)  Sopa de abóbora  (1)  Torta de abóbora  (1),cultivos,Outono,13 Dias,Pode se tornar uma  lavoura gigante,,,,,,,,,,,None,
30,Beterraba,,Mexido de legumes  (1),cultivos,Outono,6 Dias,Sementes disponíveis no  Oásis,,,,,,,,,,,None,
31,Alcachofra,,Superprato  (1)  Molho de alcachofra  (1),cultivos,Outono,8 Dias,Disponíveis a partir do Ano 2,,,,,,,,,,,None,
32,Abacaxi,,Curry Tropical  (1),cultivos,Verão,14 Dias,Continua produzindo a cada 7 dias após a primeira colheita.,,,,,,,,,,,None,
33,Inhame-coco,,Poi  (4),cultivos,Verão,10 Dias,"Se plantado perto de um corpo d'água demorará apenas 7 dias para crescer, nessas condições não precisa ser regado.",,,,,,,,,,,None,
34,Xarope de ácer,Torneirinha  colocada em uma árvore  Ácer,Pão de ácer  (1),diversos,,7-8 dias,,,,,,,,,,,,None,
35,Tinta de Lula,"Drop de  Face  ,  Lago de Peixes  ocupado por  Lula  ou  Lula da Meia-noite",Pudim de espuma do mar  (1)  Ravioli de Tinta de Lula  (1),diversos,,Varia dependendo da população do lago de peixes,,,,,,,,,,,,None,
36,Maçã,Macieira,Doce de oxicoco  (1),frutas_arvore,Outono,,,,,,,,,,,,,None,
37,Damasco,Damasqueiro,Salada de frutas  (1),frutas_arvore,Primavera,,,,,,,,,,,,,None,
38,Banana,Bananeira,Pudim de Banana  (1),frutas_arvore,Verão,,,,,,,,,,,,,None,
39,Manga,Mangueira,Arroz Doce de Manga  (1),frutas_arvore,Verão,,,,,,,,,,,,,None,
40,Amora,Por todo Stardew Valley,Mexido de amoras  (2),itens_coleta,Outono,,,,,,,,,,,,,None,
41,Cenoura subterrânea,As Minas,Hambúrguer de sobreviência  (1)  Refeição de mineiro  (2)  Prato de raízes  (1)  Refogado  (1),itens_coleta,Todas,,,,,,,,,,,,,None,
42,Cogumelo comum,"Por todo Stardew Valley, incluindo o  Bosque Secreto",Cogumelo frito  (1)  Sopa Tom Kha  (1)  Refogado  (1),itens_coleta,Primavera  /  Outono,,,,,,,,,,,,,None,
43,Dente-de-leão,Por todo Stardew Valley,Salada  (1),itens_coleta,Primavera,,,,,,,,,,,,,None,
44,Coco,O Deserto,Arroz Doce de Manga  (1)  Sopa Tom Kha  (1)  Curry Tropical  (1),itens_coleta,Todas,,,,,,,,,,,,,None,
45,Broto de samambaia,Bosque Secreto,Risoto de samambaia  (1),itens_coleta,Verão,,,,,,,,,,,,,None,
46,Avelã,Por todo Stardew Valley,Recheio  (1)  Avelãs torradas  (3),itens_coleta,Outono,,,,,,,,,,,,,None,
47,Raiz-forte,Por todo Stardew Valley,Coquetel de Camarão  (1),itens_coleta,Primavera,,,,,,,,,,,,,None,
48,Alho-poró,Por todo Stardew Valley,Salada  (1),itens_coleta,Primavera,,,,,,,,,,,,,None,
49,Morel,"A Caverna  (se escolhida a opção cogumelos com  Demetrius  ),  Bosque Secreto",Cogumelo frito  (1),itens_coleta,Primavera,,,,,,,,,,,,,None,
50,Ameixa selvagem,Por todo Stardew Valley,Pudim de ameixa  (2),itens_coleta,Outono,,,,,,,,,,,,,None,
51,Raiz de inverno,"Por todo Stardew Valley,  As Minas",Prato de raízes  (1),itens_coleta,Inverno,,,,,,,,,,,,,None,
52,Gengibre,"Por toda  Ilha Gengibre  , dropado por  Gosma-Tigre",Ginger Ale  (3),itens_coleta,Todas,,,,,,,,,,,,,None,
53,Açúcar,,Pudim de Banana  (1)  Mexido de amoras  (1)  Torta de Mirtilo  (1)  Bolo de chocolate  (1)  Biscoitos  (1)  Doce de oxicoco  (1)  Molho de oxicoco  (1)  Ginger Ale  (1)  Inhames com cobertura  (1)  Sorvete  (1)  Pão de ácer  (1)  Refeição de mineiro  (1)  Bolo rosa  (1)  Pudim de ameixa  (1)  Bolinho de papoula  (1)  Torta de abóbora  (1)  Torta de ruibarbo  (1)  Pudim de arroz  (1),itens_loja,,,Também pode ser obtido colocando  Beterrabas  em um  Moinho  . E comprado no  Mercado Joja  por  125 ouros,100.0,,,,,,,,,,1800.0,"ou, se cultivado,  20 ouros"
54,Farinha de trigo,,Peixe cozido  (1)  Mexido de amoras  (1)  Torta de Mirtilo  (1)  Pão  (3x1)  Biscoitos  (1)  Bolinhos de caranguejo  (1)  Lula frita  (1)  Bolo de chocolate  (1)  Achigã Crocante  (1)  Pão de ácer  (1)  Panquecas  (1)  Bolo rosa  (1)  Pizza  (1)  Pudim de ameixa  (1)  Bolinho de papoula  (1)  Torta de abóbora  (1)  Torta de ruibarbo  (1)  Espaguete  (1)  Ravioli de Tinta de Lula  (1)  Pão estranho  (1),itens_loja,,,Também pode ser obtido colocando  Trigo  em um  Moinho  . E comprado no  Mercado Joja  por  125 ouros,100.0,,,,,,,,,,2200.0,"ou, se cultivado,  10 ouros"
55,Arroz,,Rolinhos de arroz  (1)  Pudim de arroz  (1)  Arroz Doce de Manga  (1),itens_loja,,,Também pode ser obtido colocando  Arroz não moído  em um  Moinho  . E comprado no  Mercado Joja  por  250 ouros,200.0,,,,,,,,,,600.0,"ou, se cultivado,  40 ouros"
56,Óleo,,Brusqueta  (1)  Bolinhos de caranguejo  (1)  Achigã Crocante  (1)  Risoto de samambaia  (1)  Lula frita  (1)  Enguia frita  (1)  Cogumelo frito  (1)  Batata-palha  (2x1)  Salada de rabanete  (1)  Refogado  (1),itens_loja,,,Também pode ser produzido em um  Gerador de óleo  .,200.0,,,,,,,,,,2200.0,
57,Vinagre,,Salada de repolho  (1)  Sopa de chirívia  (1)  Salada de rabanete  (1)  Salada  (1),itens_loja,,,,200.0,,,,,,,,,,800.0,
58,Queijo,Prensa de queijo,Couve-flor com queijo  (1)  Pizza  (1)  Enroladinhos de pimenta  (1),mercadorias_artesanais,,3.3 horas,,,Leite  (1),,,,,,,,,None,
59,Maionese,Máquina de maionese,Taco de peixe  (1)  Salada de repolho  (1),mercadorias_artesanais,,3 horas,,,Ovo  (1),,,,,,,,,None,
60,Maionese nula,Máquina de maionese,Pão estranho  (1),mercadorias_artesanais,,3 horas,,,Ovo nulo  (1),,,,,,,,,None,
61,Café,Barril,Café Expresso Triplo  (3),mercadorias_artesanais,,2 horas,,,Grão de café  (5),,,,,,,,,None,
62,Atum,Oceano,Taco de peixe  (1),pescaria,Verão  /  Inverno,,,,,6:00 às 19:00,Qualquer,70.0,,,,,,None,
63,Sardinha,Oceano,Prato do mar  (2),pescaria,Primavera  /  Outono  /  Inverno,,,,,6:00 às 19:00,Qualquer,30.0,,,,,,None,
64,Brema,Rio,Peixe cozido  (1),pescaria,Todas,,,,,18:00 às 2:00,Qualquer,35.0,,,,,,None,
65,Achigã,Lago da Montanha,Achigã Crocante  (1),pescaria,Todas,,,,,6:00 ás 19:00,Qualquer,50.0,,,,,,None,
66,Truta arco-íris,"Rio,  Lago da Montanha",Sopa de truta  (1),pescaria,Verão,,,,,6:00 às 19:00,Sol,45.0,,,,,,None,
67,Salmão,Rio,Jantar de salmão  (1),pescaria,Outono,,,,,6:00 às 19:00,Qualquer,50.0,,,,,,None,
68,Linguado,Oceano,Pudim de espuma do mar  (1),pescaria,Primavera  /  Verão,,,,,6:00 às 20:00,Qualquer,50.0,,,,,,None,
69,Carpa da meia-noite,"Lago da Montanha  ,  Lagoa da Floresta",Pudim de espuma do mar  (1),pescaria,Outono  /  Inverno,,,,,22:00 às 2:00,Qualquer,55.0,,,,,,None,
70,Carpa,"Lago da Montanha  ,  Lagoa da Floresta  ,  Esgotos  ,  Bosque Secreto  ,  Covil dos Insetos Mutantes",Carpa-surpresa  (4),pescaria,Todas,,,,,Qualquer hora,Qualquer,15.0,,,,,,None,
71,Peixe-sol,Rio,Peixe cozido  (1),pescaria,Primavera  /  Verão,,,,,6:00 às 19:00,Sol  Vento,30.0,,,,,,None,
72,Enguia,Oceano,Enguia frita  (1)  Enguia picante  (1),pescaria,Primavera  /  Outono,,,,,16:00 às 2:00,Chuva,70.0,,,,,,None,
73,Lula,Oceano,Lula frita  (1),pescaria,Inverno,,,,,18:00 às 2:00,Qualquer,75.0,,,,,,None,
74,Pepino-do-mar,Oceano,Almoço da sorte  (1),pescaria,Outono  /  Inverno,,,,,6:00 às 19:00,Qualquer,40.0,,,,,,None,
75,Peixe  (Qualquer),Qualquer lugar,Sashimi  (1)  Rolinhos de arroz  (1),pescaria,Todas,,,,,Qualquer hora,Qualquer,,,,,,,None,
76,Algas marinhas,Oceano,Rolinhos de arroz  (1),pescaria,Todas,,,,,Qualquer hora,Qualquer,0.0,,,,,,None,
77,Algas verdes,Qualquer lugar com exeção da  Lagoa da Fazenda,Sopa de truta  (1)  Sopa de alga  (4),pescaria,Todas,,,,,Qualque hora,Qualquer,0.0,,,,,,None,
78,Algas brancas,"Minas  ,  Esgotos  ,  Covil dos Insetos Mutantes  ,  Pântano da bruxa",Caldo pálido  (2),pescaria,Todas,,,,,Qualquer hora,Qualquer,0.0,,,,,,None,
79,Ovo frito,,Café da manhã completo  (1),pratos_ingredientes,,,,,,,,,Ovo  (1),,,,,None,
80,Batata-palha,,Café da manhã completo  (1)  Prato do mar  (1),pratos_ingredientes,,,,,,,,,Batata  (1)  Óleo  (1),,,,,None,
81,Panquecas,,Café da manhã completo  (1),pratos_ingredientes,,,,,,,,,Farinha de trigo  (1)  Ovo  (1),,,,,None,
82,Tortilha,,Taco de peixe  (1)  Almoço da sorte  (1),pratos_ingredientes,,,,,,,,,Milho  (1),,,,,None,
83,Pão,,Brusqueta  (1)  Recheio  (1)  Hambúrguer de sobreviência  (1),pratos_ingredientes,,,,,,,,,Farinha de trigo  (1),,,,,None,
84,Omelete,,Almoço de fazendeiro  (1),pratos_ingredientes,,,,,,,,,Ovo  (1)  Leite  (1),,,,,None,
85,Ovo,Galinhas,Ovo frito  (1)  Omelete  (1)  Panquecas  (1)  Bolo de chocolate  (1)  Bolo rosa  (1)  Biscoitos  (1)  Torta de Mirtilo  (1)  Bolinhos de caranguejo  (1),produtos_naturais,,,,,,,,,,,,,,None,
86,Leite,Vacas,Omelete  (1)  Sopa de chirívia  (1)  Café da manhã completo  (1)  Pudim de arroz  (1)  Sorvete  (1)  Sopa de abóbora  (1)  Refeição de mineiro  (1)  Molho de alcachofra  (1)  Torta de abóbora  (1)  Sopa de peixe  (1)  Bisque de lagosta  (1)  Pudim de Banana  (1),produtos_naturais,,,Obtido com  Balde de leite,,,,,,,,,,,None,
87,Ovo frito,Casa da Fazenda  atualizada,,receitas,,,Lado amarelinho para cima.,35.0,,,,,Ovo  (1),,,50,22,None,
88,Omelete,"Rainha do Molho  28 Primavera, Ano 1  Saloon  por  500 ouros",,receitas,,,Superfofinha.,125.0,,,,,Ovo  (1)  Leite  (1),,,100,45,None,
91,Salada,Emily  (Correio - 3+  ),,receitas,,,Uma saudável salada de jardim.,110.0,,,,,Alho-poró  (1)  Dente-de-leão  (1)  Vinagre  (1),,,113,50,None,
92,Couve-flor com queijo,Pam  (Correio - 3+  ),,receitas,,,Um cheiro maravilhoso!,300.0,,,,,Couve-flor  (1)  Queijo  (1),,,138,62,None,
93,Peixe cozido,"Rainha do Molho  7 Verão, Ano 1",,receitas,,,Peixe cozido em uma cama de ervas.,100.0,,,,,Peixe-sol  (1)  Brema  (1)  Farinha de trigo  (1),,,75,33,None,
96,Sopa de chirívia,Caroline  (Correio - 3+  ),,receitas,,,Fresca e com um sabor forte.,120.0,,,,,Chirívia  (1)  Leite  (1)  Vinagre  (1),,,85,38,None,
97,Mexido de legumes,Caroline  (Correio - 7+  ),,receitas,,,Muito nutritivo.,120.0,,,,,Tomate  (1)  Beterraba  (1),,,165,74,None,
98,Café da manhã completo,"Rainha do Molho  21 Primavera, Ano 2",,receitas,,,Dá energia para conquistar o mundo!,350.0,,,,,Ovo frito  (1)  Leite  (1)  Batata-palha  (1)  Panquecas  (1),Cultivo  (+2)  Energia Máxima  (+50),7min,200,90,None,
101,Lula frita,Jodi  (Correio - 3+  ),,receitas,,,Que puxenta!,150.0,,,,,Lula  (1)  Farinha de trigo  (1)  Óleo  (1),,,80,36,None,
102,Pão estranho,Shane  (Correio - 7+  ),,receitas,,,O que será que tem dentro?,225.0,,,,,Farinha de trigo  (1)  Caramujo  (1)  Maionese nula  (1),,,100,45,None,
103,Almoço da sorte,"Rainha do Molho  28 Primavera, Ano 2",,receitas,,,Uma pequena refeição.,250.0,,,,,Pepino-do-mar  (1)  Tortilha  (1)  Jasmim-Azul  (1),Sorte  (+3),11min11s,100,45,None,
106,Cogumelo frito,Demetrius  (Correio - 3+  ),,receitas,,,Terroso e aromático.,200.0,,,,,Cogumelo comum  (1)  Morel  (1)  Óleo  (1),Ataque  (+2),7min,135,60,None,
107,Pizza,"Rainha do Molho  Primavera 7, Ano 2  Saloon  por  150 ouros",,receitas,,,Popular pelos motivos certos.,300.0,,,,,Farinha de trigo  (1)  Tomate  (1)  Queijo  (1),,,150,67,None,
110,Pote de feijão,Clint  (Correio - 7+  ),,receitas,,,É bem saudável.,100.0,,,,,Vagem  (2),Energia Máxima  (+30)  Magnetismo  (+32),7min,125,56,None,
111,Inhames com cobertura,"Rainha do Molho  21 Outono, Ano 1",,receitas,,,Doces e saborosos... O açúcar dá um toque de caramelo.,200.0,,,,,Inhame  (1)  Açúcar  (1),,,200,90,None,
114,Carpa-surpresa,"Rainha do Molho  7 Verão, Ano 2",,receitas,,,É insossa e oleosa.,150.0,,,,,Carpa  (4),,,90,40,None,
117,Batata-palha,"Rainha do Molho  14 Primavera, Ano 2  Saloon  por  50 ouros",,receitas,,,Crocante e dourada!,120.0,,,,,Batata  (1)  Óleo  (1),Cultivo  (+1),5min35s,90,40,None,
120,Panquecas,"Rainha do Molho  14 Verão, Ano 1  Saloon  por  500 ouros",,receitas,,,Uma pilha dupla de panquecas fofinhas e macias.,80.0,,,,,Farinha de trigo  (1)  Ovo  (1),Coleta  (+2),11min11s,90,40,None,
123,Jantar de salmão,Gus  (Correio - 3+  ),,receitas,,,Os biscoitinhos de limão o tornam especial.,300.0,,,,,Salmão  (1)  Amaranto  (1)  Couve  (1),,,125,56,None,
124,Taco de peixe,Linus  (Correio - 7+  ),,receitas,,,Tem um cheiro delicioso.,500.0,,,,,Atum  (1)  Tortilha  (1)  Repolho roxo  (1)  Maionese  (1),Pesca  (+2),7min,165,74,None,
125,Achigã Crocante,Kent  (Correio - 3+  ),,receitas,,,O acompanhamento com pão está perfeito!,150.0,,,,,Achigã  (1)  Farinha de trigo  (1)  Óleo  (1),Magnetismo  (+64),7min,90,40,None,
126,Enroladinhos de pimenta,Shane  (Correio - 3+  ),,receitas,,,Enroladinhos apimentados cheios de queijo.,200.0,,,,,Pimenta quente  (1)  Queijo  (1),Cultivo  (+2)  Velocidade  (+1),7min,130,58,None,
127,Pão,"Rainha do Molho  28 Verão, Ano 1  Saloon  por  500 ouros",,receitas,,,Uma baguete crocante.,60.0,,,,,Farinha de trigo  (1),,,50,22,None,
130,Sopa Tom Kha,Sandy  (Correio - 7+  ),,receitas,,,Que sabores incríveis!,250.0,,,,,Coco  (1)  Camarão  (1)  Cogumelo comum  (1),Cultivo  (+2)  Energia Máxima  (+30),7min,175,78,None,
131,Sopa de truta,"Rainha do Molho  14 Outono, Ano 1",,receitas,,,Bem salgada.,100.0,,,,,Truta arco-íris  (1)  Algas verdes  (1),Pesca  (+1),4min39s,100,45,None,
134,Bolo de chocolate,"Rainha do Molho  14 Inverno, Ano 1",,receitas,,,"Rico e úmido, com uma camada bem grossa de glacê.",200.0,,,,,Farinha de trigo  (1)  Açúcar  (1)  Ovo  (1),,,150,67,None,
137,Bolo rosa,"Rainha do Molho  21 Verão, Ano 2",,receitas,,,Tem pequenos doces de coração em cima.,480.0,,,,,Melão  (1)  Farinha de trigo  (1)  Açúcar  (1)  Ovo  (1),,,250,112,None,
140,Torta de ruibarbo,Marnie  (Correio - 7+  ),,receitas,,,Huum... picante e doce!,400.0,,,,,Ruibarbo  (1)  Farinha de trigo  (1)  Açúcar  (1),,,215,96,None,
141,Biscoitos,Evelyn  (4  ),,receitas,,,Bem puxento.,140.0,,,,,Farinha de trigo  (1)  Açúcar  (1)  Ovo  (1),,,90,40,None,
142,Espaguete,Lewis  (Correio - 3+  ),,receitas,,,Um clássico.,120.0,,,,,Farinha de trigo  (1)  Tomate  (1),,,75,33,None,
143,Enguia frita,George  (Correio - 3+  ),,receitas,,,"Oleosa, mas cheia de sabor.",120.0,,,,,Enguia  (1)  Óleo  (1),Sorte  (+1),7min,75,33,None,
144,Enguia picante,George  (Correio - 7+  ),,receitas,,,Como é picante! Cuidado.,175.0,,,,,Enguia  (1)  Pimenta quente  (1),Sorte  (+1)  Velocidade  (+1),7min,115,51,None,
145,Sashimi,Linus  (Correio - 3+  ),,receitas,,,Peixe cru fatiado em pedaços finos.,75.0,,,,,Qualquer  peixe  (1),,,75,33,None,
146,Rolinhos de arroz,"Rainha do Molho  21 Verão, Ano 1  Saloon  por  300 ouros",,receitas,,,Peixe e arroz enrolados em algas.,220.0,,,,,Qualquer  peixe  (1)  Algas marinhas  (1)  Arroz  (1),,,100,45,None,
149,Tortilha,"Rainha do Molho  7 Outono, Ano 1  Saloon Fruta Estrelar  por  500 ouros",,receitas,,,Pode ser acompanhada de outras comidas ou comida por si só.,50.0,,,,,Milho  (1),,,50,22,None,
152,Prato vermelho,Emily  (Correio - 7+  ),,receitas,,,Cheio de antioxidantes.,400.0,,,,,Repolho roxo  (1)  Rabanete  (1),Energia máxima  (+50),3min30s,240,108,None,
153,Parmesão com berinjela,Lewis  (Correio - 7+  ),,receitas,,,"Picante, cheia de queijo, e maravilhosa.",200.0,,,,,Berinjela  (1)  Tomate  (1),Mineração  (+1)  Defesa  (+3),4min39s,175,78,None,
154,Pudim de arroz,Evelyn  (Correio - 7+  ),,receitas,,,"Cremoso, doce, e divertido de comer.",260.0,,,,,Leite  (1)  Açúcar  (1)  Arroz  (1),,,115,51,None,
155,Sorvete,Jodi  (Correio - 7+  ),,receitas,,,Difícil achar quem não gosta disso.,120.0,,,,,Leite  (1)  Açúcar  (1),,,100,45,None,
156,Torta de Mirtilo,Pierre  (Correio - 3+  ),,receitas,,,Sutil e refrescante.,150.0,,,,,Mirtilo  (1)  Farinha de trigo  (1)  Açúcar  (1)  Ovo  (1),,,125,56,None,
157,Prato de outono,Demetrius  (Correio - 7+  ),,receitas,,,Uma amostra da estação.,350.0,,,,,Inhame  (1)  Abóbora  (1),Coleta  (+2)  Defesa  (+2),7min41s,220,99,None,
158,Sopa de abóbora,Robin  (Correio - 7+  ),,receitas,,,Favorita da estação.,300.0,,,,,Abóbora  (1)  Leite  (1),Defesa  (+2)  Sorte  (+2),7min42s,200,90,None,
159,Superprato,Kent  (Correio - 7+  ),,receitas,,,Um prato muito energizante.,220.0,,,,,Couve chinesa  (1)  Oxicoco  (1)  Alcachofra  (1),Energia Máxima  (+40)  Velocidade  (+1),3min30s,160,72,None,
160,Molho de oxicoco,Gus  (Correio - 7+  ),,receitas,,,Uma refeição festiva.,120.0,,,,,Oxicoco  (1)  Açúcar  (1),Mineração  (+2),3min30s,125,56,None,
161,Recheio,Pam  (Correio - 7+  ),,receitas,,,Ah... o doce de pão quente e salva.,165.0,,,,,Pão  (1)  Oxicoco  (1)  Avelã  (1),Defesa  (+2),5min35s,170,76,None,
162,Almoço de fazendeiro,Cultivo  Nível 3,,receitas,,,Isto vai dar bastante energia.,150.0,,,,,Omelete  (1)  Chirívia  (1),Cultivo  (+3),5min35s,200,90,None,
163,Hambúrguer de Sobrevivência,Coleta  Nível 8,,receitas,,,Uma refeição conveniente para o explorador.,180.0,,,,,Pão  (1)  Cenoura subterrânea  (1)  Berinjela  (1),Coleta  (+3),5min35s,125,56,None,
164,Prato do mar,Pesca  Nível 3,,receitas,,,Mantém você quente no vento frio do mar.,220.0,,,,,Sardinha  (2)  Batata-palha  (1),Pesca  (+3),5min35s,150,67,None,
165,Refeição de mineiro,Mineração  Nível 3,,receitas,,,Mantém você energizado.,200.0,,,,,Cenoura subterrânea  (2)  Açúcar  (1)  Leite  (1),Mineração  (+3)  Magnetismo  (+32),5min35s,125,56,None,
166,Prato de raízes,Combate  Nível 3,,receitas,,,Vai fazer você comer até terra.,100.0,,,,,Cenoura subterrânea  (1)  Raiz de inverno  (1),Ataque  (+3),5min35s,125,56,None,
167,Café Expresso Triplo,Saloon Fruta Estrelar  por  5 000 ouros,,receitas,,,É mais forte que café normal!,450.0,,,,,Café  (3),Velocidade  (+1),4min12s,8,3,None,
168,Pudim de espuma do mar,Pesca  (Nível 9),,receitas,,,Este pudim salgado vai realmente levar você à mentalidade marítima!,300.0,,,,,Linguado  (1)  Carpa da meia-noite  (1)  Tinta de Lula  (1),Pesca  (+4),3min30s,175,78,None,
169,Sopa de alga,Clint  (Correio - 3+  ),,receitas,,,Um pouco gosmenta.,100.0,,,,,Algas verdes  (4),,,75,33,None,
170,Caldo pálido,Marnie  (Correio - 3+  ),,receitas,,,Um caldo delicado com um toque de enxofre.,150.0,,,,,Algas brancas  (2),,,125,56,None,
171,Pudim de ameixa,"Rainha do Molho  7 Inverno, Ano 1",,receitas,,,Uma delícia de feriado tradicional.,260.0,,,,,Ameixa selvagem  (2)  Farinha de trigo  (1)  Açúcar  (1),,,175,78,None,
174,Molho de alcachofra,"Rainha do Molho  28 Outono, Ano 1",,receitas,,,Muito refrescante.,210.0,,,,,Alcachofra  (1)  Leite  (1),,,100,45,None,
177,Refogado,"Rainha do Molho  7 Primavera, Ano 1",,receitas,,,Legumes à juliana em uma cama de arroz.,335.0,,,,,Cenoura subterrânea  (1)  Cogumelo comum  (1)  Couve  (1)  Óleo  (1),,,200,90,None,
180,Avelãs torradas,"Rainha do Molho  28 Verão, Ano 2",,receitas,,,O processo de torra dá um rico sabor de floresta.,270.0,,,,,Avelã  (3),,,175,78,None,
183,Torta de abóbora,"Rainha do Molho  21 Winter, Year 1",,receitas,,,"Sabor extremamente delicado, crosta seca e crocante.",385.0,,,,,Abóbora  (1)  Farinha de trigo  (1)  Leite  (1)  Açúcar  (1),,,225,101,None,
186,Salada de rabanete,"Rainha do Molho  21 Primavera, Ano 1",,receitas,,,Os rabanetes são tão crocantes!,300.0,,,,,Óleo  (1)  Vinagre  (1)  Rabanete  (1),,,200,90,None,
189,Salada de frutas,"Rainha do Molho  7 Outono, Ano 2",,receitas,,,Uma combinação deliciosa de frutas de verão.,450.0,,,,,Mirtilo  (1)  Melão  (1)  Damasco  (1),,,263,118,None,
192,Mexido de amoras,"Rainha do Molho  14 Outono, Ano 2",,receitas,,,Não tem nada igual.,260.0,,,,,Amora  (2)  Açúcar  (1)  Farinha de trigo  (1),,,175,78,None,
195,Doce de oxicoco,"Rainha do Molho  28 Inverno, Ano 1",,receitas,,,Doce o suficiente para mascarar o amargor da fruta.,175.0,,,,,Oxicoco  (1)  Maçã  (1)  Açúcar  (1),,,125,56,None,
198,Brusqueta,"Rainha do Molho  21 Inverno, Ano 2",,receitas,,,Tomates assados em pão branco crocante.,210.0,,,,,Pão  (1)  Óleo  (1)  Tomate  (1),,,113,50,None,
