,nome_original,Nome,Lucro,Energia,Saude,Chance_%,Usado em,Descrição,Também achado
26,Cogumelo comum,Cogumelo comum_ouro,60,68,30,,Conjunto Recursos de Outono  Cogumelo frito  Sopa Tom Kha  Refogado  Sementes de outono,Com ligeiro sabor de nozes e boa textura.,"Coleta  (  Outono  )  Sementes de outono  Bosque Secreto  (  Outono  )  Extraindo  da  Árvore de cogumelo  (  Primavera  ,  Verão  &  Outono  )"
27,Cogumelo comum,Cogumelo comum_iridio,80,98,44,,Conjunto Recursos de Outono  Cogumelo frito  Sopa Tom Kha  Refogado  Sementes de outono,Com ligeiro sabor de nozes e boa textura.,"Coleta  (  Outono  )  Sementes de outono  Bosque Secreto  (  Outono  )  Extraindo  da  Árvore de cogumelo  (  Primavera  ,  Verão  &  Outono  )"
28,Cogumelo roxo,Cogumelo roxo,250,125,56,,Conjunto Recursos Exóticos  Conjunto Pesquisa de campo  Elixir da vida  Feiticeiro  (Presente Amado),Um cogumelo raro encontrado nas profundezas das cavernas.,"As Minas  Cortando a  Árvore de cogumelo  Extraindo  da  Árvore de cogumelo  (  Primavera  ,  Verão  &  Outono  )"
29,Cogumelo roxo,Cogumelo roxo_prata,312,175,78,,Conjunto Recursos Exóticos  Conjunto Pesquisa de campo  Elixir da vida  Feiticeiro  (Presente Amado),Um cogumelo raro encontrado nas profundezas das cavernas.,"As Minas  Cortando a  Árvore de cogumelo  Extraindo  da  Árvore de cogumelo  (  Primavera  ,  Verão  &  Outono  )"
30,Cogumelo roxo,Cogumelo roxo_ouro,375,225,101,,Conjunto Recursos Exóticos  Conjunto Pesquisa de campo  Elixir da vida  Feiticeiro  (Presente Amado),Um cogumelo raro encontrado nas profundezas das cavernas.,"As Minas  Cortando a  Árvore de cogumelo  Extraindo  da  Árvore de cogumelo  (  Primavera  ,  Verão  &  Outono  )"
31,Cogumelo roxo,Cogumelo roxo_iridio,500,325,146,,Conjunto Recursos Exóticos  Conjunto Pesquisa de campo  Elixir da vida  Feiticeiro  (Presente Amado),Um cogumelo raro encontrado nas profundezas das cavernas.,"As Minas  Cortando a  Árvore de cogumelo  Extraindo  da  Árvore de cogumelo  (  Primavera  ,  Verão  &  Outono  )"
32,Cogumelo vermelho,Cogumelo vermelho,75,-50,0,,Conjunto Tinta  Conjunto Recursos Exóticos  Elixir da vida,Um cogumelo pintado geralmente achado em cavernas.,"As Minas  Cortando a  Árvore de cogumelo  Extraindo  da  Árvore de cogumelo  (  Primavera  ,  Verão  &  Outono  )"
33,Cogumelo vermelho,Cogumelo vermelho_prata,93,-70,0,,Conjunto Tinta  Conjunto Recursos Exóticos  Elixir da vida,Um cogumelo pintado geralmente achado em cavernas.,"As Minas  Cortando a  Árvore de cogumelo  Extraindo  da  Árvore de cogumelo  (  Primavera  ,  Verão  &  Outono  )"
34,Cogumelo vermelho,Cogumelo vermelho_ouro,112,-90,0,,Conjunto Tinta  Conjunto Recursos Exóticos  Elixir da vida,Um cogumelo pintado geralmente achado em cavernas.,"As Minas  Cortando a  Árvore de cogumelo  Extraindo  da  Árvore de cogumelo  (  Primavera  ,  Verão  &  Outono  )"
35,Cogumelo vermelho,Cogumelo vermelho_iridio,150,-130,0,,Conjunto Tinta  Conjunto Recursos Exóticos  Elixir da vida,Um cogumelo pintado geralmente achado em cavernas.,"As Minas  Cortando a  Árvore de cogumelo  Extraindo  da  Árvore de cogumelo  (  Primavera  ,  Verão  &  Outono  )"
36,Damasco,Damasco,50,38,17,3.6,Conjunto Artesão  Salada de frutas  Vinho  Geléia,Uma frutinha macia com uma semente muito dura.,Muda de damasqueiro  (  Primavera  )
37,Damasco,Damasco_prata,62,53,23,3.6,Conjunto Artesão  Salada de frutas  Vinho  Geléia,Uma frutinha macia com uma semente muito dura.,Muda de damasqueiro  (  Primavera  )
38,Damasco,Damasco_ouro,75,68,30,3.6,Conjunto Artesão  Salada de frutas  Vinho  Geléia,Uma frutinha macia com uma semente muito dura.,Muda de damasqueiro  (  Primavera  )
39,Damasco,Damasco_iridio,100,98,44,3.6,Conjunto Artesão  Salada de frutas  Vinho  Geléia,Uma frutinha macia com uma semente muito dura.,Muda de damasqueiro  (  Primavera  )
40,Laranja,Laranja,100,38,17,3.6,Conjunto Artesão  Vinho  Geléia  Gus  (Presente Amado),"Suculenta, azedinha, e pulsando com um doce aroma de verão.",Muda de laranjeira  (  Verão  )
41,Laranja,Laranja_prata,125,53,23,3.6,Conjunto Artesão  Vinho  Geléia  Gus  (Presente Amado),"Suculenta, azedinha, e pulsando com um doce aroma de verão.",Muda de laranjeira  (  Verão  )
42,Laranja,Laranja_ouro,150,68,30,3.6,Conjunto Artesão  Vinho  Geléia  Gus  (Presente Amado),"Suculenta, azedinha, e pulsando com um doce aroma de verão.",Muda de laranjeira  (  Verão  )
43,Laranja,Laranja_iridio,200,98,44,3.6,Conjunto Artesão  Vinho  Geléia  Gus  (Presente Amado),"Suculenta, azedinha, e pulsando com um doce aroma de verão.",Muda de laranjeira  (  Verão  )
44,Maçã,Maçã,140,38,17,2,Conjunto Artesão  Vinho  Geléia  Doce de oxicoco  Conjunto Forragem,Fruta crocante utilizada para suco e sidra.,Muda de macieira  (  Outono  )
45,Maçã,Maçã_prata,175,53,23,2,Conjunto Artesão  Vinho  Geléia  Doce de oxicoco  Conjunto Forragem,Fruta crocante utilizada para suco e sidra.,Muda de macieira  (  Outono  )
46,Maçã,Maçã_ouro,210,68,30,2,Conjunto Artesão  Vinho  Geléia  Doce de oxicoco  Conjunto Forragem,Fruta crocante utilizada para suco e sidra.,Muda de macieira  (  Outono  )
47,Maçã,Maçã_iridio,280,98,44,2,Conjunto Artesão  Vinho  Geléia  Doce de oxicoco  Conjunto Forragem,Fruta crocante utilizada para suco e sidra.,Muda de macieira  (  Outono  )
48,Morel,Morel,150,20,9,,Cogumelo frito  Conjunto Recursos Exóticos  Elixir da vida,Cobiçado por seu sabor único e que lembra nozes.,Bosque Secreto  (  Primavera  )
49,Morel,Morel_prata,187,28,12,,Cogumelo frito  Conjunto Recursos Exóticos  Elixir da vida,Cobiçado por seu sabor único e que lembra nozes.,Bosque Secreto  (  Primavera  )
50,Morel,Morel_ouro,225,36,16,,Cogumelo frito  Conjunto Recursos Exóticos  Elixir da vida,Cobiçado por seu sabor único e que lembra nozes.,Bosque Secreto  (  Primavera  )
51,Morel,Morel_iridio,300,52,23,,Cogumelo frito  Conjunto Recursos Exóticos  Elixir da vida,Cobiçado por seu sabor único e que lembra nozes.,Bosque Secreto  (  Primavera  )
52,Pêssego,Pêssego,140,38,17,3.6,Conjunto Artesão  Vinho  Geléia  Robin  (Presente Amado),Possui uma textura de veludo.,Muda de pessegueiro  (  Verão  )
53,Pêssego,Pêssego_prata,175,53,23,3.6,Conjunto Artesão  Vinho  Geléia  Robin  (Presente Amado),Possui uma textura de veludo.,Muda de pessegueiro  (  Verão  )
54,Pêssego,Pêssego_ouro,210,68,30,3.6,Conjunto Artesão  Vinho  Geléia  Robin  (Presente Amado),Possui uma textura de veludo.,Muda de pessegueiro  (  Verão  )
55,Pêssego,Pêssego_iridio,280,98,44,3.6,Conjunto Artesão  Vinho  Geléia  Robin  (Presente Amado),Possui uma textura de veludo.,Muda de pessegueiro  (  Verão  )
56,Romã,Romã,140,38,17,3.6,Conjunto Artesão  Conjunto de Encantador  Vinho  Geléia  Elliott  (Presente Amado),Dentro do fruto há grupos de sementes suculentas.,Muda de romanzeira  (  Outono  )
57,Romã,Romã_prata,175,53,23,3.6,Conjunto Artesão  Conjunto de Encantador  Vinho  Geléia  Elliott  (Presente Amado),Dentro do fruto há grupos de sementes suculentas.,Muda de romanzeira  (  Outono  )
58,Romã,Romã_ouro,210,68,30,3.6,Conjunto Artesão  Conjunto de Encantador  Vinho  Geléia  Elliott  (Presente Amado),Dentro do fruto há grupos de sementes suculentas.,Muda de romanzeira  (  Outono  )
59,Romã,Romã_iridio,280,98,44,3.6,Conjunto Artesão  Conjunto de Encantador  Vinho  Geléia  Elliott  (Presente Amado),Dentro do fruto há grupos de sementes suculentas.,Muda de romanzeira  (  Outono  )
