,Nome da Missão,Descrição,Prazo,Requisitos,Recompensas,Tipo,Item,Ativada ao,Requirimentos,Fornecido por,Pré-requisitos,Repetível
23,À praia,Alguém chamado  Willy  convidou você para visitar a praia ao sul da cidade. Ele disse que tem algo a dar para você.,,,Vara de Bambu,Lista,,Recebê-la por Correio no dia 2 da  Primavera,Visite a praia ao sul da cidade antes da 17:00.,,,
24,Criando animais,"Robin  , a marceneira local, vive ao norte da cidade. Em troca de matéria bruta e dinheiro, ela construirá novas instalações na sua fazenda. Se quiser criar animais, precisará que ela construa um galinheiro ou estábulo.",,,,Lista,,"Terminar ""Primeiros passos""",Construa um  galinheiro  .,,,
25,Avanço,"Enquanto você ganha experiência, descobrirá novas receitas de manufatura para aumentar seus lucros e facilitar sua vida. Um espantalho, por exemplo, evitará que corvos ataquem suas preciosas plantações.",,,100 ouros,Lista,,"Terminar ""Primeiros passos""",Alcance o  nível 1 de Cultivo  e crie um  espantalho  .,,,
26,Explorar a mina,"Há um poço na mina das montanhas, ao norte da cidade. Pode haver materiais valiosos lá dentro, mas o Marlon disse que pode ser perigoso.",,,,Lista,,Entrar nas minas.,Alcance o nível 5 nas  minas  .,,,
27,Mais fundo na mina,Parece que o elevador da mina ainda está funcionando. Ele vai permitir que você retorne rapidamente para todas as portas de elevador descobertas. Pode ser necessária uma expedição mais profunda.,,,,Lista,,Alcançar o nível 5 das  minas  .,Alcance o nível 40 nas  minas  .,,,
28,Até o fundo?,"Até agora, não há sinal do fundo. Até onde ele vai?",,,,Lista,,Alcançar o nível 40 das  minas,Alcance o fundo da  mina,,,
29,Arqueologia,Gunther  perguntou se você poderia doar novos artefatos ou minerais que encontrar ao museu. Ele disse que o compensará ocasionalmente com bens raros.,,,250 ouros,Lista,,Entrar no  Museu  com um artefato ou mineral no inventário.,Doe um artefato ou mineral ao museu.,,,
30,"Infestação por ""ratos""",Tem algo estranho acontecendo no Centro Comunitário... Investigue o Centro Comunitário.,,,"Na manhã seguinte uma carta do  Feiticeiro  chegará no correio, ativando a missão ""Conheça o Feiticeiro"".",Lista,,Ative a cinemática inicial do  Centro Comunitário  ao entrar na  Vila Pelicanos  pelo  Ponto de Ônibus  entre as 9 da manha e 1 da tarde em um dia ensolarado (A partir do dia 5 da Primavera).,Entre no Centro Comunitário e examine o Pergaminho Dourado na  Sala de Artesanatos  .,,,
31,Encontre o feiticeiro,Você recebeu uma carta do feiticeiro. Ele diz ter informações sobre o antigo centro comunitário.,,,O Feiticeiro lhe dará uma poção que lhe permite ler a língua dos  Junimos  .,Lista,,"Na manhã após você examinar o primeiro pergaminho dourado no  Centro Comunitário  , você recebe uma carta do  Feiticeiro  falando que ele possui informações para você.",Entre na torre do  Feiticeiro  .,,,
32,Forja antecipada,"Se você planeja continuar minerando recursos, deve construir uma fornalha.",,,,Lista,,"Amanhecer, após coletar minerais nas  Minas  , Clint irá até sua casa",Construa uma  Fornalha  .,,,
33,Fusão,"Agora que você construiu uma fornalha, pode fundir um pouco de metal. De acordo com as instruções do  Clint  , se você colocar 5  minérios de cobre  e 1 pedaço de  carvão  na fornalha, ela produzirá uma  barra de cobre  .",,,,Lista,,Completar 'Forja antecipada'.,Utilize sua  fornalha  para derreter uma  barra de cobre  .,,,
34,Iniciação,"Se você puder abater 10 gosmas, vai conquistar seu lugar na  Guilda dos Aventureiros  .",,,Entrada à  Guilda dos Aventureiros,Lista,,"Recebê-la por Correio, na manhã seguinte ao alcançar o andar 5 da Mina.",10  gosmas verdes  derrotadas.,,,
35,Machado perdido da Robin,"Robin  perdeu seu machado favorito. Da última vez que ela lembra tê-lo usado, estava cortando madeira ao sul do rancho da Marnie.",,,250 ouros,Lista,,,Encontre o machado perdido da Robin. Pode ser encontrado perto do cano de esgoto.,,,
36,Pedido da Jodi,Jodi  precisa de couve-flor fresca para uma receita. Ela está pedindo por uma couve-flor fresca. (Você pode entregar no seu tempo),,,350 ouros,Lista,,,Traga uma  couve-flor  para a Jodi.,,,
37,"""Shorts"" do Prefeito","O  prefeito Lewis  perdeu seus ""shorts"" roxos. Ele está pedindo que você encontre-os e os devolva... Discretamente.",,,750 ouros,Lista,,"Recebê-la por Correio, no 3º dia do Verão",Encontre e devolva os shorts roxos do prefeito Lewis. Podem se encontrados no  quarto da Marnie  . (Não há penalidades se não entregar os shorts),,,
38,Cesta de Mirtilos  [2],"É temporada de mirtilos  [2]  , mas  Linus  não consegue achar sua cesta! Ele está pedindo para você ajudá-lo a encontrá-la. Ele não tem ideia de onde ela está.",,,1 coração de  amizade  com Linus,Lista,,Recebê-la por Correio,"Está perto da entrada do túnel, a esquerda do Ponto de Ônibus.",,,
39,Pedido de Marnie,"Marnie  veio pela fazendo e perguntou se você poderia trazer para ela uma  cenoura subterrânea  . Ela está tentando treinar suas cabras a falar, e cenoura subterrânea é seu lanche favorito.",,,100 pontos de  amizade  .,Lista,,Ela visita a casa da fazenda após você estar com 3 corações de  amizade  com ela.,Leve uma  Cenoura subterrânea  para a  loja da Marnie  .,,,
40,Pam está com sede,Pam  gostaria de beber uma  pale ale  . Cerveja comum não serve. Você pode criar uma cerveja artesanal se tiver  lúpulo  e um  barril  .,,,"350 ouros  , 1 coração de  amizade  .",Lista,,"Recebê-la por Correio, em qualquer dia do  Verão  .",Trazer uma  pale ale  para a  Pam  .,,,
41,Um reagente negro,O  feiticeiro  quer que você vá às minas e obtenha uma  Essência nula  para ele. É para uma espécie de ritual das trevas.,,,1 000 ouros,Lista,,,Chegar ao nível 80 das minas.,,,
42,Agrado de Vaca,Marnie  quer dar um agrado para suas vacas. Ela está pedindo por um feixe de amaranto.,,,500 ouros,Lista,,Recebê-la por Correio.,Traga um feixe de  amaranto  para a Marnie.,,,
43,Chave de Caveira,Você encontrou uma chave estranha no fundo das minas.,,,Acesso a mina do deserto.,Lista,,Chegar ao fundo das  Minas  .,Descubra o propósito da  Chave de Caveira  .,,,
44,Pesquisa de Plantações,Demetrius  precisa de um  melão  fresco para sua pesquisa.,,,"550 ouros  , 1 coração de  amizade",Lista,,"Recebê-la por Correio, em qualquer dia do  Verão  .",Traga um  melão  para  Demetrius  .,,,
45,Remédio de Joelho,George precisa de  Pimenta quente  para amenizar a dor de seu joelho.,,,"200 ouros  , 1 coração de  amizade  .",Lista,,"Recebê-la por Correio, em qualquer dia do  Verão  .",Traga uma  Pimenta quente  para  George  .,,,
46,Pedido da Robin,Robin  precisa de 10 pedaços de  Madeira de lei,,,"500 ouros  , 1 coração de  amizade",Lista,,"Recebê-la por Correio, dia 21 do  Inverno",Traga para  Robin  10  Madeiras de lei,,,
47,Desafio do Qi,Você recebeu um desafio de chegar ao nível 25 na caverna de esqueletos. Você recebeu uma promessa de boa recompensa se for bem-sucedido.,,,10 000 ouros,Lista,,Entrar na Caverna de Esqueletos.,Alcance o nível 25 na Caverna de Esqueletos.,,,
48,O Misterioso Qi,"Em um cofre secreto, você achou um bilhete com instruções curiosas. Está assinado por um tal de ""  sr. Qi  "".",,,,Lista,,"Colocar um  Conjunto de pilhas  num cofre no túnel, perto do Ponto de Ônibus.","Deixe uma  concha arco-íris  no cofre, na plataforma do trem.",,,
49,O Misterioso Qi,"Você achou outro bilhete escrito pelo ""sr. Qi"". O pedido é ainda mais exótico desta vez.",,,,Lista,,"Completar a primeira missão ""O Misterioso Qi"".",Ponha 10  beterrabas  dentro da geladeira do  prefeito Lewis  .,,,
50,O Misterioso Qi,"Você achou um outro bilhete estranho dentro da geladeira do prefeito. Desta vez, as instruções são ainda mais obscuras.",,,,Lista,,"Completar a segunda missão ""O Misterioso Qi"".","""Dê ao dragão de areia sua última refeição."" (Ponha uma  Essência solar  na boca do  dragão de areia  )",,,
51,O Misterioso Qi,Você achou outro bilhete no olho do dragão de areia. Parece que a estranha busca por restos mortais do sr. Qi chegou ao fim.,,,"Cartão do Clube  , que dá acesso ao  Cassino  .",Lista,,"Completar a terceira missão ""O Misterioso Qi"".",Inspecione a pilha de madeira atrás da sua casa.,,,
52,Esculpindo Abóboras,Caroline  quer esculpir uma abóbora com sua filha. Ela pediu que você colha uma da fazenda.,,,500 ouros,Lista,,"Recebê-la por Correio, durante o  Outono  .",Trazer uma  abóbora  para a  Caroline  .,,,
53,Um Mistério do Inverno,"Você encontrou uma pessoa suspeita ao lado da parada de ônibus. Quando ela viu você, fugiu na direção da cidade. Será que existe alguma pista sobre seu paradeiro?",,,Lupa,Lista,,"Correio, após ativar a cinemática ao entrar o  Ponto de Ônibus  pela fazenda durante o  Inverno  entre as 6 da manhã e as 4 da tarde.",Interaja com o arbusto à direita da parque infantil na  Vila Pelicanos  .,,,
54,Recado Estranho,"Você encontrou um recado, quase ilegível, pedindo que você leve ""xa róupi di boudo"" para o ""bosqi cecreto""",,,Conhecimento do Urso,Lista,,Ler o  recado secreto #23,Entre no  Bosque Secreto  das 6 às 19h com  xarope de ácer  no inventário para ativar a cinemática.,,,
55,Recado Misterioso,"Você encontrou um recado que dizia ""Alguém está esperando por você no nível 100 da  Caverna da Caveira  """,,,"Sr. Qi  lhe premia com o ""leite de cobra de irídio"", que aumentará permanentemente em 25 pontos a sua  saúde  .",Lista,,Ler o  recado secreto #10,Atinja o nível 100 da  Caverna da Caveira,,,
56,Frutas frescas,A  Emily  quer sentir o gosto da primavera. Ela está pedindo um damasco fresco.,,,,Lista,,"Recebê-la por Correio, durante a  Primavera  do segundo ano.",Traga um  Damasco  para a Emily.,,,
57,Pesquisa aquática,Demetrius  está estudando o nível de toxinas dos baiacus locais. Ele gostaria que você trouxesse um para ele.,,,600 ouros,Lista,,Recebê-la por Correio.,Trazer um  Baiacu  para o  Demetrius  .,,,
58,A Estrela do Soldado,Kent  quer dar carambola para sua esposa.,,,500 ouros,Lista,,Recebê-la por Correio.,Trazer uma  carambola  para o Kent.,,,
59,Vontade do prefeito,O  prefeito Lewis  quer óleo de trufas. Ele não quer explicar o porquê. Talvez não seja da sua conta.,,,500 ouros,Lista,,Recebê-la por Correio.,Trazer uma garrafa de  Óleo de trufas  para o prefeito.,,,
60,Precisa-se: Lagosta,Gus  enviou um comunicado pedindo uma lagosta fresca.,,,500 ouros,Lista,,Recebê-la por Correio.,Trazer uma  Lagosta  para o  Gus  .,,,
61,Pam precisa de energia,O controle remoto da Pam estragou. Ela está tendo muita dificuldade de levantar do sofá e mudar os canais.,,,400 ouros,Lista,,Recebê-la por Correio,Trazer um  Conjunto de pilhas  para a  Pam  .,,,
62,Caçarola de Peixe,Jodi  apareceu na fazenda e convidou você para jantar às 19:00. Seu único pedido foi que você trouxesse um  achigã  para a caçarola.,,,Cena de Evento,Lista,,Evento de 4 corações da Jodi\15º Dia do  Outono  ou 1º Dia do  Inverno  do primeiro ano.,Entre na casa da Jodi com uma caçarola às 19:00.,,,
63,Caça à Lula,"Willy  está desafiando você a pegar uma  lula  . Ele disse que você poderá pescá-las no oceano, nas noites de inverno.",,,800 ouros,Lista,,Recebê-la por Correio.,Traga uma  lula  para o  Willy  .,,,
64,Guisado de peixe,"Gus  quer fazer guisado de peixe, mas precisa de uma  Albacora  .",,,400 ouros,Lista,,Recebê-la por Correio.,Trazer uma  Albacora  para o  Gus  .,,,
65,Bilhete do Pierre,"Pierre  pagará muito dinheiro para quem trouxer a ele um prato de sashimi. Aparentemente, ele ama a coisa.",,,1 000 ouros,Lista,,Recebê-la por Correio.,Trazer um pouco de  Sashimi  para o  Pierre  .,,,
66,Tentativa do Clint,Clint  quer que você dê uma  ametista  à Emily. Ele quer que você diga a ela que é presente dele.,,,1 coração de  Amizade  com Emily,Lista,,Recebê-la por Correio.,Dê uma  Ametista  para a  Emily  .,,,
67,Um favor ao Clint,Clint  ganhou um novo martelo e quer testá-lo em vários metais.,,,500 ouros,Lista,,Recebê-la por Correio.,Trazer uma  Barra de ferro  para o  Clint  .,,,
68,Cajado do Poder,O feiticeiro está criando um cajado de poder fenomenal. Para que será que serve? Ele precisa de uma barra de irídio para terminá-lo,,,5 000 ouros,Lista,,"Recebê-la por Correio, no 5º dia do  Inverno  do segundo ano.",Traga uma  Barra de irídio  para o  feiticeiro  .,,,
69,Presente da vovó,Evelyn quer surpreender seu marido com um presente.,,,500 ouros,Lista,,"Recebê-la por Correio, no 15º dia da  Primavera  do segundo ano.",Trazer  alho-poró  para Evelyn.,,,
70,Espíritos exóticos,"Gus quer fazer um Coco-no-no, mas não tem o ingrediente principal.",,,600 ouros,Lista,,Recebê-la por Correio.,Traga um  coco  para o  Gus  !,,,
71,Pegue um Ófis,Willy está desafiando você a pegar um  Ófis  .,,,550 ouros,Lista,,Recebê-la por Correio.,Trazer um  Ófis  para o  Willy  .,,,
72,Talismã das trevas,"O feiticeiro me pediu para obter tinta mágica da sua ex-esposa, a bruxa... mas para entrar, vou precisar de um talismã negro.",,,,Lista,,Ver a cena da  Ferrovia  (após completar os  conjuntos  do  Centro Comunitário  ou taxas do  Armazém Joja  ).,Entre no esgoto e pergunte a  Krobus  sobre o talismã negro.,,,
73,Caminho bloqueado,Tem um duende bloqueando o caminho para a Cabana da Bruxa. Deve haver um jeito de fazê-lo se mexer... Talvez eu devesse procurar mais informações sobre os duendes.,,,Construções de fazenda  disponíveis. Acesso aos altares na  Cabana da Bruxa  .,Lista,,"Entrar na caverna da  Ferrovia  , liberada ao completar ""Talismã das trevas"".",Fale com o  Ajudante  fora da cabana da Bruxa e dê a ele  Maionese nula  como um presente. Pegue a  Tinta mágica  da cabana da bruxa e entregue ao feiticeiro.,,,
74,A Esposa do Pirata,"Uma  velha senhora  que mora na  Ilha Gengibre  te pediu para achar uma lembrança de seu marido. Ela te deu uma foto antiga de um soldado na praia, esperando que ajude de alguma forma.",,,"Receita de  Pó de Fada  , 5  Nozes Douradas",Lista,,Fale com  Passarinha,Dê a  Lembrança de Guerra  para o  Kent  Dê o  Sal Gourmet de Tomate  para o  Gus  Dê as  Rosa do Vale do Orvalho  para a  Sandy  Dê o  Controle de TV Avançado  para o  George  Dê as  Estilhaço Ártico  para o  Feiticeiro  Dê o  Minhoca Viva  para o  Willy  Dê o  Medalhão de Pirata  para a  Passarinha,,,
75,Ingredientes da Ilha,"Eu queria experimentar com comidas tropicais, mas é difícil achar os ingredientes. Se alguém pudesse enviar 100 (Inhame-coco/gengibre/abacaxi), ajudaria!",28 dias,Colha e envie 100 de um dos seguintes:  Inhame-coco  (100)  Gengibre  (100)  Abacaxi  (100),Ouro  equivalente a 50% do preço base da safra  Receita do  Painel Solar,Pedidos especiais,,,,Caroline,Ilha Gengibre  desbloqueada,Sim
76,Patrulha da Caverna,"O número de [Monstro] tem tornado a mineração perigosa... para outras pessoas, para mim não! Há um bom dinheiro para quem conseguir matar 50. -Clint",7 dias,Mate 50 de um dos seguintes:  Morcegos  Espíritos da Poeira  Esqueletos  Larvas,6 000 ouros  Receita do  Esmagador de Geodos,Pedidos especiais,,,,Clint,Nenhum,Sim
77,Superpopulação Aquática,"Por razões desconhecidas, a população local de [Peixe] cresceu a um nível insustentável. Eu preciso de um pescador local para diminuir seus números.",7 dias,"Pesque 10 de um dos seguintes (depende da estação):  Primavera:  Linguado  ,  Achigã  ,  Halibute  ,  Peixe-sol  ,  Sardinha  Verão:  Truta arco-íris  ,  Atum  ,  Dourado  ,  Salmonete  ,  Tilápia  Outono:  Salmão híbrido  ,  Albacora  ,  Salmão  ,  Carpa da meia-noite  Inverno:  Lula  ,  Ófis  ,  Perca",Ouro  equivalente a vender o peixe  Receita do  Computador da Fazenda,Pedidos especiais,,,,Demetrius,Nenhum,Sim
78,Equilíbrio do Bioma,"Por razões desconhecidas, a população local de peixes de [rio, lago ou mar] cresceu a um nível insustentável. Eu preciso de um pescador local para diminuir seus número.",7 dias,Pesque 20 de um dos seguintes:  Peixes de Rio  Peixes de Oceano  Peixes de Lago,1 500 ouros  Receita do  Computador da Fazenda,Pedidos especiais,,,,Demetrius,Nenhum,Sim
79,Rejuvenescimento por Pedras,"Oi! Eu vou convidar uns amigos para uma cerimônia de ""rejuvenescimento por pedras"", mas eu vou precisar de uns cristais para canalizar as energias certas. Alguém pode me ajudar?",7 dias,Entregue à  Emily  todos os seguintes itens:  Rubi  (1)  Topázio  (1)  Esmeralda  (1)  Jade  (1)  Ametista  (1)  Pode ser coletado antes de aceitar o pedido especial,"1 000 ouros  Amizade  Máquina de Costura  Cutscene da cerimônia do ""Rejuvenescimento por Pedras"" na  Casa da Emily",Pedidos especiais,,,,Emily,Ter acesso à  máquina de costura  na casa da Emily,Não
80,Presentes para o George,George pensa que ninguém na vila gosta dele. Eu gostaria de provar o contrário! Uma dúzia de alhos-porós deve dar... É o favorito dele. -Evelyn,28 dias,"Colete ou colha e, em seguida, coloque no fogão da Evelyn:  Alho-poró  (12)  Os itens devem ser coletados ou colhidos enquanto a missão está ativa.","2 000 ouros  Máquina de Café  Cutscene do ""Presente surpresa de alho-poró"" na  Casa do George  .",Pedidos especiais,,,,Evelyn,Primavera,Não
81,Fragmentos do Passado,"Chamando todos os paleontólogos amadores! Eu preciso de 100 pedaços de osso para os meus estudos. Por favor, coloquem-os no balcão do museu! -Gunther",7 dias,Colete e depois jogue na caixa do  Museu  :  Fragmento de Osso  (100)  Os itens devem ser coletados enquanto a missão está ativa.,3 500 ouros  Receita do  Moedor de Ossos,Pedidos especiais,,,,Gunther,Nenhum,Não
82,O Omelete Famoso do Gus,Saudação... mas eu vou precisar de duas dúzias de ovos. Alguém tá afim? -Gus,14 dias,Colete e coloque na geladeira do  Saloon Fruta Estrelar  :  Ovo  (24)  Quaisquer ovos recolhidos do chão do  Galinheiro  ou de uma  Auto-Recolhedora  após o início da missão,"3 000 ouros  Mini-Geladeira  Cutscene da ""Omelete Gigante"" no  Saloon Fruta Estrelar",Pedidos especiais,,,,Gus,Nenhum,Sim
83,Pedido de Plantas,[Safra] estão em alta demanda este ano. Qualquer um que enviar 100 [safra] até o final da temporada vai ganhar uma recompensa substancial do Fundo Agrícola de Vila Pelicanos.,28 dias,"Colha e envie 100 de um dos seguintes (depende da estação):  Couve-flor  ,  Alho  ,  Vagem  ,  Batata  ,  Mirtilo  ,  Pimenta quente  ,  Melão  ,  Rabanete  ,  Tomate  ,  Trigo  ,  Amaranto  ,  Alcachofra  ,  Couve chinesa  ,  Uva  ,  Oxicoco  ,  Berinjela  ,  Abóbora  ,  Inhame  As safras devem ser colhidas enquanto a missão está ativa.",Ouro  equivalente a 50% do preço base da safra  Mini Caixa de Remessas,Pedidos especiais,,,,Lewis,Não ser  Inverno,Sim
84,Limpeza da Comunidade,Eu tenho uma ideia. Tem muito lixo na água. Por que não pescamos alguns para deixar o vale mais bonito? -Linus,7 dias,Reúna e jogue no lixo da plataforma do trem:  20 itens  Lixo  (exceto Joja-Cola)  O contador de coleta funciona com Covos.,"500 ouros  Amizade  Receita de  Sementes de Fibra  Cutscene ""Limpeza da comunidade"" no  lago da montanha",Pedidos especiais,,,,Linus,Nenhum,Não
85,O Negócio Forte,"Fiquei sabendo que existe um destilado de batata que bate forte, se é que me entende. Se importa de colocar umas batatas em um barril e me trazer umas amostras?",14 dias,Colete:  Suco de Batata  (12)  Devem ser coletados do barril enquanto a missão está ativa.,"3 000 ouros  Amizade  Cutscene ""Suco de Batata"" no  Trailer  Canal de  Televisão  F.I.B.S.",Pedidos especiais,,,,Pam,Primavera,Não
86,Produtos de Luxo do Pierre,"Olá. Para uma promoção futura, eu estava pensando em vender uns vegetais de alta qualidade por um preço um pouco maior... Sabe onde um comerciante econômico pode achar 25 vegetais com estrela de ouro?",28 dias,Colha e coloque na caixa no Armazém Geral do Pierre:  Vegetais  de qualidade ouro (25)  Os itens devem ser colhidos enquanto a missão está ativa. Itens colhidos por  Junimos  não contam.,2 500 ouros  Cutscene no  Armazém do Pierre  Mini Caixa de Remessas,Pedidos especiais,,,,Pierre,Nenhum,Não
87,Projeto da Robin,"Ei! Eu tenho uma ideia de um novo tipo de cama, mas eu vou precisar de 80 madeiras de lei para fazê-la. Alguém pode me ajudar? -Robin",7 dias,Colete:  Madeira de lei  (80),"2 000 ouros  Amizade  Cutscene do ""Projeto da Robin"" na  casa da Robin  Cama de Casal de Luxo Vermelha  (pode ser comprado na Carpintaria por  6 000 ouros  )",Pedidos especiais,,,,Robin,Nenhum,Não
88,Missão de Recursos da Robin,"Estou colocando um desafio, só por diversão. Se alguém conseguir coletar 1000 unidades de [Recurso] em uma semana, vão ganhar uma recompensa. E você pode manter a [Recurso]! -Robin",7 dias,Colete 1000 unidades de um dos seguintes:  Madeira  Pedra  Pode ser comprado na Carpintaria.,2 500 ouros  Receita do  Baú de Pedra,Pedidos especiais,,,,Robin,Nenhum,Sim
89,Procuro Insetos Suculentos!,"Opa, estou procurando por um bocado de insetos. Quanto mais suculentos melhor... pelo menos parece que é o que os caranguejos querem... 100 deve dar.",7 dias,Colete e coloque no barril ao lado da peixaria:  Carne de inseto  (100)  Os itens devem ser coletados enquanto a missão está ativa.,3 000 ouros  Receita da  Boia de Qualidade  Cutscene fora da  Peixaria,Pedidos especiais,,,,Willy,Nenhum,Não
90,Peixes Tropicais,"Não há nada como pesca tropical... Para manter a arte viva, estou oferecendo uma recompensa por quem trazer uma boa amostra da ilha.",7 dias,Pesque:  Arraia  (5)  Acará-Disco Azul  (5)  Peixe-Leão  (5),2 500 ouros  Aquário de Luxo,Pedidos especiais,,,,Willy,"Ilha Gengibre  desbloqueada, e Resort da Ilha construído",Não
91,Uma Substância Curiosa,"Eu procuro uma geleca extremamente rara e poderosa, conhecida como 'ectoplasma'. Ela pode ser achada em fantasmas mortos. -M. Rasmodius",7 dias,Obtenha e entregue:  Ectoplasma  (1),2 500 ouros  Receita do  Mini Obelisco,Pedidos especiais,,,,Feiticeiro,Nenhum,Não
92,Gosma Prismática,"Eu requiro assistência em localizar a rara e poderosa gosma prismática, dentro das cavernas locais. Me traga um pote de sua gosma prismática e será recompensado. -M. Rasmodius",7 dias,Obtenha e entregue:  Gosma Prismática  (1),5 000 ouros  Receita de  Almíscar de Monstro,Pedidos especiais,,,,Feiticeiro,Nenhum,Não
