,Unnamed: 0,Imagem,Nome,Uso,Obtenção,Descrição,Localização
15,4,,Periódico Trimestral de Combate,,,Leia isto para ganhar alguma experiência de combate.,Comprado no  Vendedor de Livros  por  5 000 ouros  Também pode ser encontrado em baús de tesouro de pesca  Também pode ser encontrado em  Caixas misteriosas douradas
16,5,,Manual de Segurança dos Anões,,,As bombas causam 25% menos dano a você.,Comprado do  Anão  por  4 000 ouros  (pode ser comprado várias vezes)
17,6,,Os Básicos da Amizade,,,Você se torna amigo das pessoas um pouco mais rápido.,Comprado no  Vendedor de Livros  por  20 000 ouros  Dado como prêmio da  máquina de prêmios  na casa de Lewis
18,7,,Cavalo: O Livro,,,Você ganha um pouco mais de velocidade ao andar a cavalo.,Comprado no  Vendedor de Livros  por  25 000 ouros
19,8,,"Jack seja ágil, Jack seja parrudo",,,Você ganha +1 de Defesa.,Comprado no  Vendedor de Livros  por  20 000 ouros  Também pode ser encontrado em  ponto de artefatos
20,9,,Jóia do Mar,,,Baús de tesouro de pesca têm chance de produzir ovas.,Comprado no  Vendedor de Livros  por  20 000 ouros  Também pode ser encontrado em  Baú do tesouro  durante a  Pesca  .
21,10,,Mapeamento das Cavernas,,,Você ganha 50% de desconto no serviço de recuperação de itens do Marlon.,Encontrado em uma caixa nos fundos da  Guilda dos Aventureiros  .
22,11,,Periódico Mensal de Mineração,,,Leia isto para ganhar alguma experiência em mineração.,Comprado no  Vendedor de Livros  por  8 000 ouros  Também pode ser encontrado em  Caixa Misteriosa Dourada  .
23,12,,Compêndio de Monstros,,,Monstros  tem uma chance pequena de deixar o dobro de espólios,Comprado no  Vendedor de Livros  por  25 000 ouros  .  Obtido de  Monstros  em todas as situações.
24,13,,O Perna de Cobra,,,Agora você vai poder correr muito mais rápido na grama e na colheita.,Comprado no  Vendedor de Livros  por  25 000 ouros
25,14,,Catálogo de Preço,,,Agora você pode ver o valor de seus itens.,Comprado no  Vendedor de Livros  por  3 000 ouros  (Pode ser comprado várias vezes).
26,15,,Livro de Receitas da Rainha do Molho,,,Aprenda qualquer receita da  Rainha do molho  que você ainda não conhece.,"Comprado no  Vendedor de Livros  por  10 000 ouros  Todas as receitas podem ser aprendidas, não apenas aquelas que já foram ao ar no Rainha do Molho."
27,16,,Caçador de Diamantes,,,Todas as pedras têm a chance de deixar cair um diamante quando extraídas manualmente.,Comprado do Anão na Masmorra do Vulcão por 10  diamantes
28,17,,Caminho do Vento - Parte 1,,,Você corre um pouco mais rápido.,Comprado com o  Vendedor de Livros  por  15 000 ouros
29,18,,Caminho do Vento - Parte 2,,,Você corre mais rápido.,Comprado no  Vendedor de Livros  por  35 000 ouros  depois de já ter a pt 1.
30,19,,O Bufê do Beco,,,Você tem mais chance de encontrar itens no lixo.,"Pode ser encontrado na lixeira dourada entre o  Ferreiro  e o  Mercado Joja  , por um buraco escondido na cerca."
31,20,,O Segredo da Floresta,,,As árvores tem uma chance de 5% de dobrar a quantidade de madeira dada.,Ganho randomicamente por cortar árvores.
32,0,,Maestria do  Cultivo,,,"Você pode agora achar um  Biscoito de Animal Dourado  , que dobra permanentemente a eficiência daquele animal. Não funciona com Porcos.",
33,1,,Maestria da  Mineração,,,Nós de Minérios  agora dão o dobro de minerais.,
34,2,,Maestria de  Coleta,,,"Você agora pode achar  Caixas Douradas Misteriosas  , que contém itens superiores.",
35,3,,Maestria da  Pesca,,,Você agora pode encontrar  Baús do Tesouro Dourados  .,
36,4,,Maestria do Combate,,,Desbloqueia um novo espaço para  Amuletos  . Amuletos podem ser encontrados nas suas aventuras e garantir poderes especiais.,
